,id,rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr,explorer
0,bitcoin,1,BTC,Bitcoin,19573975.0000000000000000,21000000.0000000000000000,836196039100.3397729032297750,11376655917.9606006361372096,42719.7868138862838490,3.1958852914316463,41530.2238767440524596,https://blockchain.info/
1,ethereum,2,ETH,Ethereum,120197888.7699193400000000,,266326631349.4460312303033183,4067424589.5257075477231048,2215.7346861494691492,0.8318465537044988,2167.7371932637085457,https://etherscan.io/
2,tether,3,USDT,Tether,90912507793.9117400000000000,,90933055418.1701243903845843,15832642951.2524290823838747,1.0002260153718888,-0.0327421204137477,0.9999418551506562,https://www.omniexplorer.info/asset/31
3,binance-coin,4,BNB,BNB,166801148.0000000000000000,166801148.0000000000000000,40527246093.8454926558814036,335625835.9579252448160265,242.9674290601734507,1.4000532207579345,236.9670565218041663,https://etherscan.io/token/0xB8c77482e45F1F44dE1745F52C74426C631bDD52
4,solana,5,SOL,Solana,427720957.9796481000000000,,31974035561.9909169233441858,789589167.1138119535474526,74.7544280107787273,4.5260607634873914,70.4002296305689201,https://explorer.solana.com/
5,xrp,6,XRP,XRP,45404028640.0000000000000000,100000000000.0000000000000000,27708991696.0353530122571840,685637372.5763931758530418,0.6102760597685006,-0.3094684840274450,0.6002400191669565,https://xrpcharts.ripple.com/#/graph/
6,usd-coin,7,USDC,USDC,24627291015.3474730000000000,,24645557336.1493405830461850,1107691705.5153456690103995,1.0007417105190532,-0.0620220455031992,1.0005669430501095,https://etherscan.io/token/0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
7,cardano,8,ADA,Cardano,35337314942.8630000000000000,45000000000.0000000000000000,21260677777.7675040972696482,299688016.7776370252154055,0.6016494974828719,3.1293676230340430,0.5716407126433208,https://cardanoexplorer.com/
8,avalanche,9,AVAX,Avalanche,365768409.8728739000000000,720000000.0000000000000000,14971137592.0633342241271792,557960634.4403260385602549,40.9306467916862687,-0.1816115420187791,39.4460864790559435,https://avascan.info/
9,dogecoin,10,DOGE,Dogecoin,142289456383.7052300000000000,,13120349872.9608273090699963,292184628.1224911390984336,0.0922088692051771,-1.5478446827127256,0.0904239126780738,http://dogechain.info/chain/Dogecoin
10,polkadot,11,DOT,Polkadot,1309330037.3256100000000000,,9006564855.5556118488112390,144435588.7883843253505599,6.8787582953126885,0.7057450728175179,6.6447116414802730,https://polkascan.io/polkadot
11,tron,12,TRX,TRON,88399651474.9612700000000000,,8936686929.9123332541025691,119422659.6924800990093530,0.1010941421238929,-0.8273039486355589,0.1001270996650366,https://tronscan.org/#/
12,chainlink,13,LINK,Chainlink,568099970.4527867000000000,1000000000.0000000000000000,8282569132.2563064911180902,356117708.3800513979030147,14.5794218676951139,3.4267425613573700,14.1612641932500327,https://etherscan.io/token/0x514910771af9ca656af840dff83e8264ecf986ca
13,polygon,14,MATIC,Polygon,9547812599.0277980000000000,10000000000.0000000000000000,7733509574.1173767226950986,230114292.3344940193101227,0.8099771014467584,-1.8912115775067050,0.7992260800118924,https://etherscan.io/token/0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0
14,wrapped-bitcoin,15,WBTC,Wrapped Bitcoin,154167.6579852700000000,,6564601707.0367568682150169,71740338.5632605063933279,42580.9264590629891709,3.0690492693275230,41470.6851291151556841,https://etherscan.io/token/0x2260fac5e5542a773aa44fbcfedf7c193bc2c599
